,date,User,Tweet
433,2022-11-23 09:27:12+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Hum Tum

#ShivThakare #ShivIsTheBoss"
434,2022-11-23 09:26:56+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Popatlal ki shaadi bole to Barbadi 

#ShivThakare #ShivIsTheBoss"
435,2022-11-23 09:25:56+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 High, tides, good vibes

#ShivThakare #ShivIsTheBoss"
436,2022-11-23 09:25:11+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Roti, kapda or makan 

#ShivThakare #ShivIsTheBoss"
437,2022-11-23 09:24:46+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Coffee plzzz

#ShivThakare #ShivIsTheBoss"
438,2022-11-23 09:24:38+00:00,anil6397,"@Sheetal_priya7 Tera address nahi hai तेरी मार नही सकते tu fir mut,,,,"
439,2022-11-23 09:24:27+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Tropical state of mind 

#ShivThakare #ShivIsTheBoss"
440,2022-11-23 09:24:07+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Don't forget to Win...

#ShivThakare #ShivIsTheBoss"
441,2022-11-23 09:23:33+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 I decide my vibe

#ShivThakare #ShivIsTheBoss"
442,2022-11-23 09:23:29+00:00,sheetal_bsakpal,@paramonkar This is like the chicken and egg question?😅
443,2022-11-23 09:23:08+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Crazy

#ShivThakare #ShivIsTheBoss"
444,2022-11-23 09:22:55+00:00,sheetal_bsakpal,@baehaya_aurat 🫂🫂
445,2022-11-23 09:22:46+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Sunshine on my mind

#ShivThakare #ShivIsTheBoss"
446,2022-11-23 09:22:00+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 You don't know me

#ShivThakare #ShivIsTheBoss"
447,2022-11-23 09:21:44+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Live a good story 

#ShivThakare #ShivIsTheBoss"
448,2022-11-23 09:16:47+00:00,n_rao35148427,@Sheetal_priya7 Lund
449,2022-11-23 09:16:31+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Yesss....

#ShivThakare #ShivIsTheBoss"
450,2022-11-23 09:14:20+00:00,SheetalDhankha1,"#भगवदगीता_के_गूढ़_रहस्य
#भगवदगीता_के_गूढ़_रहस्य https://t.co/gOGXOUuQG2"
451,2022-11-23 09:13:11+00:00,sheetal_pawan21,"Living healthy Lifestyle is a personal decision but we can aware the mass 
How intoxication can be proved life ending. #HealthyLifestyle 

SAINT GURMEET RAM RAHIM JI
DEPTH campaign"
452,2022-11-23 09:11:35+00:00,SheetalDhankha1,"श्री कृष्ण जी काल नहीं थे, उनके दर्शन मात्र से मनुष्य, पशु (गाय आदि) प्रसन्न होकर श्री कृष्ण जी के पास आकर प्यार पाते थे।
काल कोई और शक्ति है। वह श्री कृष्ण जी के शरीर में प्रेतवत प्रवेश करके पवित्र श्रीमद्भगवत गीता जी के ज्ञान रूप में चारों पवित्र वेदों का सार बोल गया। https://t.co/2bvuiMGynt"
453,2022-11-23 09:11:17+00:00,KD85643235,"@Tanusha_Arora @AshikAawara @RekhaSh90781202 @Naughty_Seema @AnushaArora_ @RaviP_RaviP @Ra__THOR @RajKuma44653275 @Rakesh60231 @Sheetal_priya7 @maleforfunchat1 और यही हर मर्द की कमजोरी है, प्यार शुरू भी यही से होता है ...."
454,2022-11-23 09:10:42+00:00,KandariSheetal,@beingarun28 हर राज्य में अपना वारिस पैदा करना यात्रा 🤣🤣🤣🤣
455,2022-11-23 09:09:15+00:00,sheetalERS7080,"@VootSelect @iamTinaDatta @shalinbhanot @MCSTAN16 Fortunate 

#ShivThakare #ShivIsTheBoss"
456,2022-11-23 09:09:11+00:00,KandariSheetal,@brand_amendra जय श्री राम 🚩
